NAME,PLAYER2,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,Fours,Sixes,TYPE,COST₹_LAKH
Travis Head,SRH,567,15,15,1,102,40.50,296,191.55,1,4,64,32,BAT,680.0
Nicholas Pooran,LSG,499,14,14,6,75,62.38,280,178.21,0,3,35,36,BAT/WK,1600.0
Sunil Narine,KKR,488,15,14,0,109,34.86,270,180.74,1,3,50,33,BOW,600.0
Heinrich Klaasen,SRH,479,16,15,3,80*,39.92,280,171.07,0,4,19,38,BAT/WK,525.0
Faf Du Plessis,RCB,438,15,15,0,64,29.20,271,161.62,0,4,47,21,BAT,700.0
Phil Salt,KKR,435,12,12,1,89*,39.55,239,182.0,0,4,50,24,BAT/WK,150.0
Marcus Stoinis,LSG,388,14,14,2,124*,32.33,263,147.52,1,2,39,16,AR,1000.0
Tristan Stubbs,DC,378,14,13,6,71*,54.00,198,190.9,0,3,24,26,BAT/WK,50.0
Jos Buttler,RR,359,11,11,2,107*,39.89,255,140.78,2,0,36,12,BAT/WK,1000.0
Jake Fraser - McGurk,DC,330,9,9,0,84,36.67,141,234.04,0,4,32,28,BAT/WK,50.0
Daryl Mitchell,CSK,318,13,13,2,63,28.91,223,142.6,0,2,27,10,AR,1400.0
Jonny Bairstow,PBKS,298,11,11,1,108*,29.80,195,152.82,1,0,33,14,BAT/WK,675.0
Sam Curran,PBKS,270,13,12,2,63*,27.00,219,123.28,0,2,24,6,AR,1850.0
Cameron Green,RCB,255,13,12,4,46,31.88,178,143.25,0,0,22,10,AR,1750.0
Quinton De Kock,LSG,250,11,11,0,81,22.73,186,134.4,0,3,29,9,BAT/WK,675.0
Tim David,MI,241,13,11,3,45*,30.13,152,158.55,0,0,14,15,AR,825.0
Will Jacks,RCB,230,8,8,1,100*,32.86,131,175.57,1,1,16,18,BAT,320.0
Andre Russell,KKR,222,15,9,2,64*,31.71,120,185.0,0,1,20,16,AR,1600.0
Rachin Ravindra,CSK,222,10,10,0,61,22.20,138,160.86,0,1,22,12,AR,180.0
Aiden Markram,SRH,220,11,11,2,50,24.44,177,124.29,0,1,18,4,BAT,260.0
Rilee Rossouw,PBKS,211,8,8,0,61,26.38,116,181.89,0,1,25,11,BAT,800.0
David Miller,GT,210,9,9,3,55,35.00,139,151.07,0,1,20,8,BAT,300.0
Shai Hope,DC,183,9,9,1,41,22.88,122,150.0,0,0,12,12,BAT/WK,75.0
David Warner,DC,168,8,8,0,52,21.00,125,134.4,0,1,17,10,BAT,625.0
Pat Cummins,SRH,136,16,10,4,35*,22.67,95,143.15,0,0,9,8,AR,2050.0
Moeen Ali,CSK,128,8,5,0,56,25.60,98,130.61,0,1,7,8,AR,800.0
Shimron Hetmyer,RR,113,12,9,4,27*,22.60,69,163.76,0,0,9,7,BAT,850.0
Liam Livingstone,PBKS,111,7,7,2,38*,22.20,78,142.3,0,0,8,7,AR,1150.0
Rovman Powell,RR,103,10,7,1,27,17.17,68,151.47,0,0,10,6,BAT,740.0
Rashid Khan,GT,102,12,8,3,31,20.40,71,143.66,0,0,11,3,BOW,1500.0
Dewald Brevis,MI,69,3,3,0,46,23.00,59,116.94,0,0,3,5,BAT,300.0
Rahmanullah Gurbaz,KKR,62,3,2,0,39,31.00,46,134.78,0,0,7,4,BAT/WK,50.0
Mitchell Marsh,DC,61,4,4,0,23,15.25,38,160.52,0,0,9,3,AR,650.0
Romario Shepherd,MI,57,6,5,3,39*,28.50,21,271.42,0,0,5,5,AR,50.0
Glenn Maxwell,RCB,52,10,9,0,28,5.78,43,120.93,0,0,6,2,AR,1100.0
Sikandar Raza,PBKS,43,2,2,0,28,21.50,38,113.15,0,0,2,2,AR,50.0
Azmatullah Omarzai,GT,42,7,4,0,17,10.50,33,127.27,0,0,2,2,AR,50.0
Mohammad Nabi,MI,35,7,5,1,23,8.75,31,112.9,0,0,2,2,AR,150.0
Kane Williamson,GT,27,2,2,0,26,13.50,27,100.0,0,0,4,0,BAT,200.0
Ashton Turner,LSG,21,2,2,0,16,10.50,18,116.66,0,0,0,2,BAT,100.0
Kagiso Rabada,PBKS,20,11,3,2,11*,20.00,14,142.85,0,0,0,2,BOW,925.0
Marco Jansen,SRH,18,3,2,1,17,18.00,13,138.46,0,0,1,1,AR,420.0
Trent Boult,RR,14,16,5,3,12,7.00,16,87.5,0,0,2,0,BOW,800.0
Mitchell Santner,CSK,14,3,3,0,11,4.67,17,82.35,0,0,1,0,AR,190.0
Gerald Coetzee,MI,14,10,5,1,8,3.50,22,63.63,0,0,0,1,AR,500.0
Mitchell Starc,KKR,9,14,5,3,6*,4.50,11,81.81,0,0,1,0,BOW,2475.0
Donovan Ferreira,RR,8,2,2,0,7,4.00,11,72.72,0,0,0,0,BAT/WK,50.0
Spencer Johnson,GT,6,5,3,3,5*,-,7,85.71,0,0,1,0,BOW,1000.0
Noor Ahmad,GT,5,10,4,2,4,2.50,9,55.55,0,0,1,0,BOW,30.0
Matthew Wade,GT,4,2,1,0,4,4.00,6,66.66,0,0,0,0,BAT/WK,240.0
Anrich Nortje,DC,4,6,2,0,4,2.00,8,50.0,0,0,0,0,BOW,650.0
Reece Topley,RCB,3,4,1,1,3*,-,6,50.0,0,0,0,0,BOW,190.0
Jhye Richardson,DC,2,1,1,0,2,2.00,2,100.0,0,0,0,0,BOW,500.0
Lockie Ferguson,RCB,1,7,1,0,1,1.00,1,100.0,0,0,0,0,BOW,200.0
