NAME,PLAYER2,WKTS,MAT,INNS,OV,RUNS,BBI,AVG,ECON,SR,4-Wicket,5-Wicket,TYPE,COST₹_LAKH
Harshal Patel,PBKS,24,14,14,49.0,477,15/3,19.87,9.73,12.25,0,0,AR,1175.0
Varun Chakaravarthy,KKR,21,15,14,50.0,402,16/3,19.14,8.04,14.28,0,0,BOW,1200.0
Jasprit Bumrah,MI,20,13,13,51.5,336,21/5,16.8,6.48,15.55,0,1,BOW,1200.0
T Natarajan,SRH,19,14,14,51.2,465,19/4,24.47,9.05,16.21,1,0,BOW,400.0
Harshit Rana,KKR,19,13,11,42.1,383,24/3,20.15,9.08,13.31,0,0,BOW,20.0
Avesh Khan,RR,19,16,15,54.5,526,27/3,27.68,9.59,17.31,0,0,BOW,1000.0
Arshdeep Singh,PBKS,19,14,14,50.2,505,29/4,26.57,10.03,15.89,1,0,BOW,400.0
Yuzvendra Chahal,RR,18,15,15,58.0,546,11/3,30.33,9.41,19.33,0,0,BOW,650.0
Tushar Deshpande,CSK,17,13,13,48.0,424,27/4,24.94,8.83,16.94,1,0,BOW,20.0
Khaleel Ahmed,DC,17,14,14,50.0,479,21/2,28.17,9.58,17.64,0,0,BOW,525.0
Mukesh Kumar,DC,17,10,10,35.3,368,14/3,21.64,10.36,12.52,0,0,BOW,550.0
Kuldeep Yadav,DC,16,11,11,43.0,374,55/4,23.37,8.69,16.12,1,0,BOW,200.0
Yash Dayal,RCB,15,14,14,50.1,459,20/3,30.6,9.14,20.06,0,0,BOW,500.0
Mohammed Siraj,RCB,15,14,14,54.0,496,43/3,33.06,9.18,21.6,0,0,BOW,700.0
Sandeep Sharma,RR,13,11,10,38.0,311,18/5,23.92,8.18,17.53,0,1,BOW,50.0
Piyush Chawla,MI,13,11,11,35.0,312,29/3,24.0,8.91,16.15,0,0,BOW,50.0
Mohit Sharma,GT,13,12,11,39.0,425,25/3,32.69,10.89,18.0,0,0,BOW,50.0
Axar Patel,DC,11,14,14,44.0,337,25/2,30.63,7.65,24.0,0,0,AR,1200.0
Vaibhav Arora,KKR,11,10,10,30.0,276,27/3,25.09,9.2,16.36,0,0,BOW,60.0
Bhuvneshwar Kumar,SRH,11,16,16,57.0,533,41/3,48.45,9.35,31.09,0,0,BOW,420.0
Hardik Pandya,MI,11,14,12,36.0,387,31/3,35.18,10.75,19.63,0,0,AR,1500.0
Yash Thakur,LSG,11,10,10,35.3,402,30/5,36.54,11.32,19.36,0,1,BOW,45.0
Ravi Bishnoi,LSG,10,14,14,43.4,383,25/2,38.3,8.77,26.2,0,0,BOW,400.0
Rahul Chahar,PBKS,10,9,9,31.0,279,23/3,27.9,9.0,18.6,0,0,BOW,525.0
Ishant Sharma,DC,10,9,9,27.0,265,34/3,26.5,9.81,16.2,0,0,BOW,50.0
Mohsin Khan,LSG,10,9,10,38.0,385,29/2,38.5,10.13,22.8,0,0,BOW,20.0
Ravichandran Ashwin,RR,9,15,14,55.0,467,24/3,51.88,8.49,36.66,0,0,BOW,975.0
Rasikh Salam,DC,9,8,8,24.3,269,34/3,29.88,10.97,16.33,0,0,BOW,20.0
Ravindra Jadeja,CSK,8,14,14,47.0,369,18/3,46.12,7.85,35.25,0,0,AR,1600.0
